ID,Descrip,Energy,Protein,Fat,Carbohydrate,Sugar,Fiber,Vitamin A,Vitamin B-6,Vitamin B-12,Vitamin C,Vitamin E,Folate,Niacin,Riboflavin,Thiamin,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Selenium,Zinc,FoV
9001,"Acerola, (west indian cherry), raw",32,0.4,0.3,7.69,0,1.1,38,0.009,0,1677.6,0,14,0.4,0.06,0.02,12,0.086,0.2,18,0,11,0.6,0.1,Fruit
9002,"Acerola juice, raw",23,0.4,0.3,4.8,4.5,0.3,25,0.004,0,1600,0.18,14,0.4,0.06,0.02,10,0.086,0.5,12,0,9,0.1,0.1,Fruit
9003,"Apples, raw, with skin",52,0.26,0.17,13.81,10.39,2.4,3,0.041,0,4.6,0.18,3,0.091,0.026,0.017,6,0.027,0.12,5,0.035,11,0,0.04,Fruit
9004,"Apples, raw, without skin",48,0.27,0.13,12.76,10.1,1.3,2,0.037,0,4,0.05,0,0.091,0.028,0.019,5,0.031,0.07,4,0.038,11,0,0.05,Fruit
9005,"Apples, raw, without skin, cooked, boiled",53,0.26,0.36,13.64,11.01,2.4,2,0.044,0,0.2,0.05,1,0.095,0.012,0.016,5,0.035,0.19,3,0.118,8,0.3,0.04,Fruit
9006,"Apples, raw, without skin, cooked, microwave",56,0.28,0.42,14.41,11.61,2.8,2,0.046,0,0.3,0.05,1,0.061,0.011,0.017,5,0.046,0.17,3,0.142,8,0.3,0.04,Fruit
9007,"Apples, canned, sweetened, sliced, drained, unheated",67,0.18,0.49,16.7,15,1.7,3,0.044,0,0.4,0.21,0,0.073,0.01,0.009,4,0.053,0.23,2,0.153,5,0.3,0.03,Fruit
9008,"Apples, canned, sweetened, sliced, drained, heated",67,0.18,0.43,16.84,14.84,2,3,0.044,0,0.2,0.21,0,0.081,0.01,0.009,4,0.051,0.24,3,0.165,6,0.3,0.05,Fruit
9009,"Apples, dehydrated (low moisture), sulfured, uncooked",346,1.32,0.58,93.53,81.13,12.4,4,0.28,0,2.2,0.75,1,0.68,0.13,0.046,19,0.271,2,22,0.128,55,1.8,0.29,Fruit
9010,"Apples, dehydrated (low moisture), sulfured, stewed",74,0.28,0.12,19.91,0,2.6,1,0.054,0,0.6,0,0,0.14,0.029,0.008,4,0.058,0.43,5,0.027,12,0.4,0.06,Fruit
9011,"Apples, dried, sulfured, uncooked",243,0.93,0.32,65.89,57.19,8.7,0,0.125,0,3.9,0.53,0,0.927,0.159,0,14,0.191,1.4,16,0.09,38,1.3,0.2,Fruit
9012,"Apples, dried, sulfured, stewed, without added sugar",57,0.22,0.07,15.32,13.32,2,1,0.05,0,1,0.12,0,0.129,0.019,0.006,3,0.044,0.33,4,0.021,9,0.3,0.05,Fruit
9013,"Apples, dried, sulfured, stewed, with added sugar",83,0.2,0.07,20.73,0,1.9,1,0.047,0,0.9,0,0,0.121,0.018,0.006,3,0.042,0.31,3,0.02,8,0,0.04,Fruit
9014,"Apples, frozen, unsweetened, unheated",48,0.28,0.32,12.31,10.1,1.3,0,0.034,0,0.1,0,1,0.042,0.011,0.013,4,0.058,0.18,3,0.169,8,0.2,0.05,Fruit
9015,"Apples, frozen, unsweetened, heated",47,0.29,0.33,12,0,1.3,0,0.032,0,0.4,0,1,0.043,0.011,0.014,5,0.065,0.19,3,0.146,8,0.2,0.05,Fruit
9016,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",46,0.1,0.13,11.3,9.62,0.2,0,0.018,0,0.9,0.01,0,0.073,0.017,0.021,8,0.012,0.12,5,0.074,7,0.1,0.02,Fruit
9017,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",166,0.51,0.37,41,38.83,0.4,0,0.116,0,2.1,0.04,1,0.135,0.054,0.011,20,0.05,0.91,17,0.225,25,0.4,0.13,Fruit
9018,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",47,0.14,0.1,11.54,10.93,0.1,0,0.033,0,0.6,0.01,0,0.038,0.015,0.003,6,0.014,0.26,5,0.063,7,0.1,0.04,Fruit
9019,"Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)",42,0.17,0.1,11.27,9.39,1.1,1,0.027,0,1,0.16,3,0.084,0.03,0.026,4,0.027,0.23,3,0.025,5,0.3,0.03,Fruit
9020,"Applesauce, canned, sweetened, without salt (includes USDA commodity)",68,0.16,0.17,17.49,14.67,1.2,0,0.027,0,1.7,0.18,1,0.072,0.022,0.017,3,0.032,0.12,3,0.03,6,0.3,0.03,Fruit
9021,"Apricots, raw",48,1.4,0.39,11.12,9.24,2,96,0.054,0,10,0.89,9,0.6,0.04,0.03,13,0.078,0.39,10,0.077,23,0.1,0.2,Fruit
9022,"Apricots, canned, water pack, with skin, solids and liquids",27,0.71,0.16,6.39,4.79,1.6,98,0.054,0,3.4,0.6,2,0.395,0.023,0.021,8,0.082,0.32,7,0.053,13,0.1,0.11,Fruit
9023,"Apricots, canned, water pack, without skin, solids and liquids",22,0.69,0.03,5.48,0,1.1,91,0.054,0,1.8,0,2,0.437,0.024,0.02,8,0.068,0.54,9,0.053,16,0,0.11,Fruit
9024,"Apricots, canned, juice pack, with skin, solids and liquids",48,0.63,0.04,12.34,10.74,1.6,85,0.054,0,4.9,0.6,2,0.344,0.019,0.018,12,0.054,0.3,10,0.052,20,0.1,0.11,Fruit
9025,"Apricots, canned, extra light syrup pack, with skin, solids and liquids",49,0.6,0.1,12.5,0,1.6,64,0.054,0,4,0,2,0.6,0.02,0.02,10,0.04,0.3,6,0.052,12,0,0.08,Fruit
9026,"Apricots, canned, light syrup pack, with skin, solids and liquids",63,0.53,0.05,16.49,14.89,1.6,66,0.054,0,2.7,0.6,2,0.304,0.02,0.016,11,0.079,0.39,8,0.052,13,0.1,0.11,Fruit
9027,"Apricots, canned, heavy syrup pack, with skin, solids and liquids",83,0.53,0.08,21.47,19.87,1.6,62,0.054,0,3.1,0.6,2,0.376,0.022,0.02,9,0.078,0.3,7,0.051,12,0.1,0.11,Fruit
9028,"Apricots, canned, heavy syrup pack, without skin, solids and liquids",83,0.51,0.09,21.45,0,1.6,62,0.054,0,2.8,0,2,0.416,0.023,0.019,9,0.065,0.43,8,0.051,13,0,0.1,Fruit
9029,"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",96,0.55,0.04,24.85,0,1.6,74,0.054,0,2.4,0,2,0.34,0.022,0.016,8,0.064,0.62,8,0.05,15,0,0.1,Fruit
9030,"Apricots, dehydrated (low-moisture), sulfured, uncooked",320,4.9,0.62,82.89,0,0,633,0.52,0,9.5,0,4,3.58,0.148,0.043,61,0.576,6.31,63,0.369,157,0,1,Fruit
9031,"Apricots, dehydrated (low-moisture), sulfured, stewed",126,1.93,0.24,32.62,0,0,220,0.161,0,7.1,0,2,1.63,0.067,0.013,24,0.227,2.48,25,0.145,62,0,0.39,Fruit
9032,"Apricots, dried, sulfured, uncooked",241,3.39,0.51,62.64,53.44,7.3,180,0.143,0,1,4.33,10,2.589,0.074,0.015,55,0.343,2.66,32,0.235,71,2.2,0.39,Fruit
9033,"Apricots, dried, sulfured, stewed, without added sugar",85,1.2,0.18,22.15,19.57,2.6,64,0.051,0,0.3,1.53,3,0.915,0.026,0.005,19,0.121,0.94,11,0.083,25,0.8,0.14,Fruit
9034,"Apricots, dried, sulfured, stewed, with added sugar",113,1.17,0.15,29.26,0,4.1,107,0.103,0,1.4,0,0,0.853,0.027,0.005,15,0.138,1.52,15,0.088,38,0,0.24,Fruit
9035,"Apricots, frozen, sweetened",98,0.7,0.1,25.1,0,2.2,84,0.06,0,9,0,2,0.8,0.04,0.02,10,0.064,0.9,9,0.05,19,0.4,0.1,Fruit
9036,"Apricot nectar, canned, without added ascorbic acid",56,0.37,0.09,14.39,13.79,0.6,66,0.022,0,0.6,0.31,1,0.26,0.014,0.009,7,0.073,0.38,5,0.032,9,0,0.09,Fruit
9037,"Avocados, raw, all commercial varieties",160,2,14.66,8.53,0.66,6.7,7,0.257,0,10,2.07,81,1.738,0.13,0.067,12,0.19,0.55,29,0.142,52,0.4,0.64,Fruit
9038,"Avocados, raw, California",167,1.96,15.41,8.64,0.3,6.8,7,0.287,0,8.8,1.97,89,1.912,0.143,0.075,13,0.17,0.61,29,0.149,54,0.4,0.68,Fruit
9039,"Avocados, raw, Florida",120,2.23,10.06,7.82,2.42,5.6,7,0.078,0,17.4,2.66,35,0.672,0.053,0.021,10,0.311,0.17,24,0.095,40,0,0.4,Fruit
9040,"Bananas, raw",89,1.09,0.33,22.84,12.23,2.6,3,0.367,0,8.7,0.1,20,0.665,0.073,0.031,5,0.078,0.26,27,0.27,22,1,0.15,Fruit
9041,"Bananas, dehydrated, or banana powder",346,3.89,1.81,88.28,47.3,9.9,12,0.44,0,7,0.39,14,2.8,0.24,0.18,22,0.391,1.15,108,0.574,74,3.9,0.61,Fruit
9042,"Blackberries, raw",43,1.39,0.49,9.61,4.88,5.3,11,0.03,0,21,1.17,25,0.646,0.026,0.02,29,0.165,0.62,20,0.646,22,0.4,0.53,Fruit
9043,"Blackberry juice, canned",38,0.3,0.6,7.8,7.7,0.1,6,0.021,0,11.3,0.9,10,0.446,0.018,0.012,12,0.114,0.48,21,0,12,0.3,0.41,Fruit
9044,"Cherries, tart, dried, sweetened",333,1.25,0.73,80.45,67.15,2.5,141,0.101,0,19.3,0.17,11,0.867,0.101,0.058,38,0.229,0.68,22,0,36,0.4,0.25,Fruit
9046,"Blackberries, canned, heavy syrup, solids and liquids",92,1.31,0.14,23.1,19.7,3.4,11,0.036,0,2.8,0.78,27,0.287,0.039,0.027,21,0.133,0.65,17,0.697,14,0.3,0.18,Fruit
9048,"Blackberries, frozen, unsweetened",64,1.18,0.43,15.67,10.67,5,6,0.061,0,3.1,1.17,34,1.207,0.046,0.029,29,0.12,0.8,22,1.223,30,0.4,0.25,Fruit
9050,"Blueberries, raw",57,0.74,0.33,14.49,9.96,2.4,3,0.052,0,9.7,0.57,6,0.418,0.041,0.037,6,0.057,0.28,6,0.336,12,0.1,0.16,Fruit
9052,"Blueberries, canned, heavy syrup, solids and liquids",88,0.65,0.33,22.06,20.46,1.6,2,0.036,0,1.1,0.38,2,0.113,0.053,0.034,5,0.053,0.33,4,0.203,10,0.1,0.07,Fruit
9053,"Blueberries, wild, frozen",57,0,0.16,13.85,0,4.4,3,0.02,0,1.7,0.26,0,0.61,0.007,0.03,17,0,0.58,7,2.87,13,0,0.67,Fruit
9054,"Blueberries, frozen, unsweetened",51,0.42,0.64,12.17,8.45,2.7,2,0.059,0,2.5,0.48,7,0.52,0.037,0.032,8,0.033,0.18,5,0.147,11,0.1,0.07,Fruit
9055,"Blueberries, frozen, sweetened",85,0.4,0.13,21.95,19.72,2.2,2,0.059,0,1,0.52,7,0.253,0.052,0.02,6,0.039,0.39,2,0.262,7,0.2,0.06,Fruit
9056,"Boysenberries, canned, heavy syrup",88,0.99,0.12,22.31,0,2.6,2,0.038,0,6.2,0,34,0.23,0.029,0.026,18,0.07,0.43,11,0.25,10,0.4,0.19,Fruit
9057,"Boysenberries, frozen, unsweetened",50,1.1,0.26,12.19,6.89,5.3,3,0.056,0,3.1,0.87,63,0.767,0.037,0.053,27,0.08,0.85,16,0.547,27,0.2,0.22,Fruit
9059,"Breadfruit, raw",103,1.07,0.23,27.12,11,4.9,0,0.1,0,29,0.1,14,0.9,0.03,0.11,17,0.084,0.54,25,0.06,30,0.6,0.12,Fruit
9060,"Carambola, (starfruit), raw",31,1.04,0.33,6.73,3.98,2.8,3,0.017,0,34.4,0.15,12,0.367,0.016,0.014,3,0.137,0.08,10,0.037,12,0.6,0.12,Fruit
9061,"Carissa, (natal-plum), raw",62,0.5,1.3,13.63,0,0,2,0,0,38,0,0,0.2,0.06,0.04,11,0.21,1.31,16,0,7,0,0,Fruit
9062,"Cherimoya, raw",75,1.57,0.68,17.71,12.87,3,0,0.257,0,12.6,0.27,23,0.644,0.131,0.101,10,0.069,0.27,17,0.093,26,0,0.16,Fruit
9063,"Cherries, sour, red, raw",50,1,0.3,12.18,8.49,1.6,64,0.044,0,10,0.07,8,0.4,0.04,0.03,16,0.104,0.32,9,0.112,15,0,0.1,Fruit
9064,"Cherries, sour, red, canned, water pack, solids and liquids (includes USDA commodity red tart cherries, canned)",36,0.77,0.1,8.94,7.6,1.1,38,0.044,0,2.1,0.23,8,0.177,0.041,0.017,11,0.07,1.37,6,0.076,10,0,0.07,Fruit
9065,"Cherries, sour, red, canned, light syrup pack, solids and liquids",75,0.74,0.1,19.3,0,0.8,36,0.044,0,2,0,8,0.17,0.039,0.016,10,0.068,1.32,6,0.073,10,0,0.07,Fruit
9066,"Cherries, sour, red, canned, heavy syrup pack, solids and liquids",91,0.73,0.1,23.27,22.17,1.1,36,0.044,0,2,0.23,8,0.168,0.039,0.016,10,0.066,1.3,6,0.072,10,0,0.06,Fruit
9067,"Cherries, sour, red, canned, extra heavy syrup pack, solids and liquids",114,0.71,0.09,29.23,0,0.8,35,0.044,0,1.9,0,7,0.163,0.038,0.016,10,0.065,1.26,5,0.07,9,0,0.06,Fruit
9068,"Cherries, sour, red, frozen, unsweetened",46,0.92,0.44,11.02,9.02,1.6,44,0.067,0,1.7,0.05,5,0.137,0.034,0.044,13,0.09,0.53,9,0.057,16,0,0.1,Fruit
9070,"Cherries, sweet, raw",63,1.06,0.2,16.01,12.82,2.1,3,0.049,0,7,0.07,4,0.154,0.033,0.027,13,0.06,0.36,11,0.07,21,0,0.07,Fruit
9071,"Cherries, sweet, canned, water pack, solids and liquids",46,0.77,0.13,11.76,10.26,1.5,8,0.03,0,2.2,0.23,4,0.41,0.041,0.022,11,0.075,0.36,9,0.062,15,0,0.08,Fruit
9072,"Cherries, sweet, canned, juice pack, solids and liquids",54,0.91,0.02,13.81,12.31,1.5,6,0.03,0,2.5,0.23,4,0.406,0.024,0.018,14,0.073,0.58,12,0.061,22,0,0.1,Fruit
9073,"Cherries, sweet, canned, light syrup pack, solids and liquids",67,0.61,0.15,17.29,15.79,1.5,8,0.03,0,3.7,0.23,4,0.403,0.041,0.021,9,0.145,0.36,9,0.06,18,0,0.1,Fruit
9074,"Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids",83,0.6,0.15,21.27,16.18,1.4,8,0.022,0,3.6,0.17,4,0.396,0.04,0.021,9,0.142,0.35,9,0.048,18,0,0.1,Fruit
9075,"Cherries, sweet, canned, extra heavy syrup pack, solids and liquids",102,0.59,0.15,26.23,0,1.5,8,0.03,0,3.6,0,4,0.388,0.039,0.021,9,0.139,0.35,8,0.058,17,0,0.1,Fruit
9076,"Cherries, sweet, frozen, sweetened",89,1.15,0.13,22.36,20.26,2.1,9,0.036,0,1,0.07,4,0.177,0.047,0.027,12,0.024,0.35,10,0.109,16,0,0.04,Fruit
9077,"Crabapples, raw",76,0.4,0.3,19.95,0,0,2,0,0,8,0,0,0.1,0.02,0.03,18,0.067,0.36,7,0.115,15,0,0,Fruit
9078,"Cranberries, raw",46,0.39,0.13,12.2,4.04,4.6,3,0.057,0,13.3,1.2,1,0.101,0.02,0.012,8,0.061,0.25,6,0.36,13,0.1,0.1,Fruit
9079,"Cranberries, dried, sweetened",308,0.07,1.37,82.36,65,5.7,0,0.038,0,0.2,1.07,0,0.99,0.016,0.007,10,0.08,0.53,5,0.265,8,0.5,0.11,Fruit
9081,"Cranberry sauce, canned, sweetened",151,0.2,0.15,38.9,37.9,1,2,0.014,0,2,0.83,1,0.1,0.021,0.015,4,0.02,0.22,3,0.06,6,0.3,0.05,Fruit
9082,"Cranberry-orange relish, canned",178,0.3,0.1,46.2,0,0,4,0,0,18,0,0,0.1,0.02,0.03,11,0.04,0.2,4,0,8,0,0,Fruit
9083,"Currants, european black, raw",63,1.4,0.41,15.38,0,0,12,0.066,0,181,1,0,0.3,0.05,0.05,55,0.086,1.54,24,0.256,59,0,0.27,Fruit
9084,"Currants, red and white, raw",56,1.4,0.2,13.8,7.37,4.3,2,0.07,0,41,0.1,8,0.1,0.05,0.04,33,0.107,1,13,0.186,44,0.6,0.23,Fruit
9085,"Currants, zante, dried",283,4.08,0.27,74.08,67.28,6.8,4,0.296,0,4.7,0.11,10,1.615,0.142,0.16,86,0.468,3.26,41,0.469,125,0.7,0.66,Fruit
9086,"Custard-apple, (bullock's-heart), raw",101,1.7,0.6,25.2,0,2.4,2,0.221,0,19.2,0,0,0.5,0.1,0.08,30,0,0.71,18,0,21,0,0,Fruit
9087,"Dates, deglet noor",282,2.45,0.39,75.03,63.35,8,0,0.165,0,0.4,0.05,19,1.274,0.066,0.052,39,0.206,1.02,43,0.262,62,3,0.29,Fruit
9088,"Elderberries, raw",73,0.66,0.5,18.4,0,7,30,0.23,0,36,0,6,0.5,0.06,0.07,38,0.061,1.6,5,0,39,0.6,0.11,Fruit
9089,"Figs, raw",74,0.75,0.3,19.18,16.26,2.9,7,0.113,0,2,0.11,6,0.4,0.05,0.06,35,0.07,0.37,17,0.128,14,0.2,0.15,Fruit
9090,"Figs, canned, water pack, solids and liquids",53,0.4,0.1,13.99,11.79,2.2,2,0.07,0,1,0.08,2,0.445,0.038,0.023,28,0.11,0.29,10,0.088,10,0.1,0.12,Fruit
9091,"Figs, canned, light syrup pack, solids and liquids",69,0.39,0.1,17.95,16.15,1.8,2,0.07,0,1,0.1,2,0.437,0.038,0.022,27,0.108,0.29,10,0.086,10,0.2,0.11,Fruit
9092,"Figs, canned, heavy syrup pack, solids and liquids",88,0.38,0.1,22.9,20.7,2.2,2,0.07,0,1,0.12,2,0.428,0.037,0.022,27,0.106,0.28,10,0.084,10,0.2,0.11,Fruit
9093,"Figs, canned, extra heavy syrup pack, solids and liquids",107,0.38,0.1,27.86,0,0,2,0,0,1,0,0,0.419,0.036,0.022,26,0.103,0.28,10,0.083,10,0,0.11,Fruit
9094,"Figs, dried, uncooked",249,3.3,0.93,63.87,47.92,9.8,0,0.106,0,1.2,0.35,9,0.619,0.082,0.085,162,0.287,2.03,68,0.51,67,0.6,0.55,Fruit
9095,"Figs, dried, stewed",107,1.42,0.4,27.57,23.35,4.2,0,0.133,0,4.4,0.15,1,0.64,0.11,0.011,70,0.124,0.88,29,0.22,29,0.2,0.24,Fruit
9096,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",32,0.42,0.05,8.51,7.51,1,13,0.052,0,2.1,0.4,3,0.363,0.011,0.016,5,0.071,0.25,7,0.15,11,0.5,0.09,Fruit
9097,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, juice pack, solids and liquids",46,0.46,0.01,11.86,10.86,1,15,0.051,0,2.7,0.4,3,0.403,0.016,0.012,8,0.062,0.21,7,0.146,14,0.5,0.09,Fruit
9098,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra light syrup, solids and liquids",45,0.4,0.07,11.63,0,1.1,12,0.051,0,3,0,3,0.5,0.01,0.03,8,0.1,0.3,6,0.147,12,0,0.08,Fruit
9099,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, light syrup, solids and liquids",57,0.4,0.07,14.93,13.93,1,10,0.051,0,1.9,0.5,3,0.38,0.019,0.018,6,0.07,0.29,5,0.147,11,0.5,0.09,Fruit
9100,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids",73,0.39,0.07,18.91,17.91,1,10,0.05,0,1.9,0.4,3,0.374,0.019,0.018,6,0.069,0.29,5,0.144,11,0.5,0.08,Fruit
9101,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra heavy syrup, solids and liquids",88,0.39,0.07,22.89,0,1.1,10,0.049,0,1.9,0,3,0.368,0.019,0.018,6,0.067,0.28,5,0.142,11,0,0.08,Fruit
9102,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, water pack, solids and liquids",30,0.35,0.07,7.87,0,1,22,0.032,0,1.9,0,3,0.374,0.021,0.015,7,0.067,0.3,5,0.151,9,0,0.08,Fruit
9103,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, juice pack, solids and liquids",50,0.51,0.03,13.05,0,1,30,0.027,0,3.3,0,3,0.356,0.014,0.011,11,0.05,0.25,8,0.151,14,0,0.14,Fruit
9104,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, light syrup, solids and liquids",58,0.34,0.07,15.14,0,1,21,0.032,0,2.5,0,3,0.365,0.02,0.014,7,0.065,0.29,5,0.148,9,0,0.07,Fruit
9105,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, heavy syrup, solids and liquids",73,0.34,0.07,19.11,18.11,1,25,0.032,0,2.4,0.4,3,0.347,0.021,0.015,6,0.064,0.28,5,0.145,9,0.5,0.07,Fruit
9106,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids",88,0.33,0.06,22.77,0,1,32,0.032,0,2.1,0,3,0.353,0.02,0.014,6,0.063,0.28,5,0.143,9,0,0.07,Fruit
9107,"Gooseberries, raw",44,0.88,0.58,10.18,0,4.3,15,0.08,0,27.7,0.37,6,0.3,0.03,0.04,25,0.07,0.31,10,0.144,27,0.6,0.12,Fruit
9109,"Gooseberries, canned, light syrup pack, solids and liquids",73,0.65,0.2,18.75,0,2.4,7,0.012,0,10,0,3,0.153,0.053,0.02,16,0.217,0.33,6,0.177,7,0.4,0.11,Fruit
9111,"Grapefruit, raw, pink and red and white, all areas",32,0.63,0.1,8.08,6.98,1.1,46,0.042,0,34.4,0.13,10,0.25,0.02,0.036,12,0.047,0.09,8,0.012,8,0.3,0.07,Fruit
9112,"Grapefruit, raw, pink and red, all areas",42,0.77,0.14,10.66,6.89,1.6,58,0.053,0,31.2,0.13,13,0.204,0.031,0.043,22,0.032,0.08,9,0.022,18,0.1,0.07,Fruit
9113,"Grapefruit, raw, pink and red, California and Arizona",37,0.5,0.1,9.69,0,0,13,0.042,0,38.1,0,12,0.191,0.02,0.034,11,0.032,0.08,9,0.02,12,0,0.07,Fruit
9114,"Grapefruit, raw, pink and red, Florida",30,0.55,0.1,7.5,0,1.1,13,0.042,0,37,0,9,0.2,0.02,0.04,15,0.044,0.12,8,0.01,9,1.4,0.07,Fruit
9116,"Grapefruit, raw, white, all areas",33,0.69,0.1,8.41,7.31,1.1,2,0.043,0,33.3,0.13,10,0.269,0.02,0.037,12,0.05,0.06,9,0.013,8,1.4,0.07,Fruit
9117,"Grapefruit, raw, white, California",37,0.88,0.1,9.09,0,0,0,0.043,0,33.3,0,12,0.269,0.02,0.037,12,0.032,0.08,9,0.02,12,0,0.07,Fruit
9118,"Grapefruit, raw, white, Florida",32,0.63,0.1,8.19,0,0,0,0.043,0,37,0,9,0.2,0.02,0.04,15,0.056,0.05,9,0.011,7,0,0.07,Fruit
9119,"Grapefruit, sections, canned, water pack, solids and liquids",36,0.58,0.1,9.15,8.75,0.4,0,0.02,0,21.8,0.09,9,0.249,0.021,0.039,15,0.067,0.41,10,0.007,10,0.9,0.09,Fruit
9120,"Grapefruit, sections, canned, juice pack, solids and liquids",37,0.7,0.09,9.21,8.8,0.4,0,0.02,0,33.9,0.09,9,0.249,0.018,0.029,15,0.037,0.21,11,0.007,12,0.9,0.08,Fruit
9121,"Grapefruit, sections, canned, light syrup pack, solids and liquids",60,0.56,0.1,15.44,15.04,0.4,0,0.02,0,21.3,0.09,9,0.243,0.02,0.038,14,0.066,0.4,10,0.007,10,0.9,0.08,Fruit
9123,"Grapefruit juice, white, canned, unsweetened",38,0.52,0.1,8.96,8.86,0.1,0,0.02,0,29.2,0.04,10,0.231,0.02,0.042,7,0.038,0.2,10,0.02,11,0.1,0.09,Fruit
9124,"Grapefruit juice, white, canned, sweetened",46,0.58,0.09,11.13,11.03,0.1,0,0.02,0,26.9,0.04,10,0.319,0.023,0.04,8,0.048,0.36,10,0.02,11,0.1,0.06,Fruit
9125,"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",146,1.97,0.48,34.56,34.16,0.4,2,0.154,0,119.8,0.14,13,0.772,0.078,0.145,27,0.118,0.49,38,0.07,49,0.3,0.18,Fruit
9126,"Grapefruit juice, white, frozen concentrate, unsweetened, diluted with 3 volume water",41,0.55,0.13,9.73,9.63,0.1,0,0.044,0,33.7,0.04,4,0.217,0.022,0.041,8,0.033,0.14,11,0.02,14,0.1,0.05,Fruit
9128,"Grapefruit juice, white, raw",39,0.5,0.1,9.2,9.1,0.1,1,0.044,0,38,0.22,10,0.2,0.02,0.04,9,0.033,0.2,12,0.02,15,0.1,0.05,Fruit
9129,"Grapes, muscadine, raw",57,0.81,0.47,13.93,0,3.9,3,0,0,6.5,0,0,0,1.5,0,37,0.119,0.26,14,1.973,24,0,0.11,Fruit
9130,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid",60,0.37,0.13,14.77,14.2,0.2,0,0.032,0,25,0,0,0.133,0.015,0.017,11,0.018,0.25,10,0.239,14,0,0.07,Fruit
9131,"Grapes, american type (slip skin), raw",67,0.63,0.35,17.15,16.25,0.9,5,0.11,0,4,0.19,4,0.3,0.057,0.092,14,0.04,0.29,5,0.718,10,0.1,0.04,Fruit
9132,"Grapes, red or green (European type, such as Thompson seedless), raw",69,0.72,0.16,18.1,15.48,0.9,3,0.086,0,3.2,0.19,2,0.188,0.07,0.069,10,0.127,0.36,7,0.071,20,0.1,0.07,Fruit
9133,"Grapes, canned, thompson seedless, water pack, solids and liquids",40,0.5,0.11,10.3,9.7,0.6,2,0.065,0,1,0.13,3,0.13,0.023,0.031,10,0.056,0.98,6,0.039,18,0.1,0.05,Fruit
9134,"Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids",76,0.48,0.1,19.65,19.05,0.6,3,0.065,0,1,0.13,3,0.125,0.022,0.03,10,0.054,0.94,6,0.038,17,0.1,0.05,Fruit
9135,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",60,0.37,0.13,14.77,14.2,0.2,0,0.032,0,0.1,0,0,0.133,0.015,0.017,11,0.018,0.25,10,0.239,14,0,0.07,Fruit
9138,"Groundcherries, (cape-gooseberries or poha), raw",53,1.9,0.7,11.2,0,0,36,0,0,11,0,0,2.8,0.04,0.11,9,0,1,0,0,40,0,0,Fruit
9139,"Guavas, common, raw",68,2.55,0.95,14.32,8.92,5.4,31,0.11,0,228.3,0.73,49,1.084,0.04,0.067,18,0.23,0.26,22,0.15,40,0.6,0.23,Fruit
9140,"Guavas, strawberry, raw",69,0.58,0.6,17.36,0,5.4,5,0,0,37,0,0,0.6,0.03,0.03,21,0,0.22,17,0,27,0,0,Fruit
9143,"Guava sauce, cooked",36,0.32,0.14,9.48,5.88,3.6,14,0.09,0,146.4,0.55,5,0.42,0.013,0.026,7,0.077,0.18,7,0.108,11,0.5,0.17,Fruit
9144,"Jackfruit, raw",95,1.72,0.64,23.25,19.08,1.5,5,0.329,0,13.7,0.34,24,0.92,0.055,0.105,24,0.076,0.23,29,0.043,21,0,0.13,Fruit
9145,"Java-plum, (jambolan), raw",60,0.72,0.23,15.56,0,0,0,0.038,0,14.3,0,0,0.26,0.012,0.006,19,0,0.19,15,0,17,0,0,Fruit
9146,"Jujube, raw",79,1.2,0.2,20.23,0,0,2,0.081,0,69,0,0,0.9,0.04,0.02,21,0.073,0.48,10,0.084,23,0,0.05,Fruit
9147,"Jujube, dried",287,3.7,1.1,73.6,0,0,0,0,0,13,0,0,0.5,0.36,0.21,79,0.265,1.8,37,0.305,100,0,0.19,Fruit
9148,"Kiwifruit, green, raw",61,1.14,0.52,14.66,8.99,3,4,0.063,0,92.7,1.46,25,0.341,0.025,0.027,34,0.13,0.31,17,0.098,34,0.2,0.14,Fruit
