ID,Descrip,Energy,Protein,Fat,Carbohydrate,Sugar,Fiber,Vitamin A,Vitamin B-6,Vitamin B-12,Vitamin C,Vitamin E,Folate,Niacin,Riboflavin,Thiamin,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Selenium,Zinc,FoV
11022,"Balsam-pear (bitter gourd), leafy tips, raw",30,5.3,0.69,3.29,0,0,87,0.803,0,88,0,128,1.11,0.362,0.181,84,0.201,2.04,85,0.536,99,0.9,0.3,Vegetable
11023,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",34,3.6,0.2,6.68,1.04,1.9,121,0.76,0,55.6,1.45,88,0.995,0.282,0.147,42,0.201,1.02,94,0.536,77,0.9,0.3,Vegetable
11024,"Balsam-pear (bitter gourd), pods, raw",17,1,0.17,3.7,0,2.8,24,0.043,0,84,0,72,0.4,0.04,0.04,19,0.034,0.43,17,0.089,31,0.2,0.8,Vegetable
11025,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",19,0.84,0.18,4.32,1.95,2,6,0.041,0,33,0.14,51,0.28,0.053,0.051,9,0.033,0.38,16,0.086,36,0.2,0.77,Vegetable
11026,"Bamboo shoots, raw",27,2.6,0.3,5.2,3,2.2,1,0.24,0,4,1,7,0.6,0.07,0.15,13,0.19,0.5,3,0.262,59,0.8,1.1,Vegetable
11027,"Bamboo shoots, cooked, boiled, drained, without salt",12,1.53,0.22,1.92,0,1,0,0.098,0,0,0,2,0.3,0.05,0.02,12,0.082,0.24,3,0.113,20,0.4,0.47,Vegetable
11028,"Bamboo shoots, canned, drained solids",19,1.72,0.4,3.22,1.89,1.4,1,0.136,0,1.1,0.63,3,0.14,0.026,0.026,8,0.114,0.32,4,0.157,25,0.5,0.65,Vegetable
11029,"Beans, kidney, mature seeds, sprouted, raw",29,4.2,0.5,4.1,0,0,0,0.085,0,38.7,0,59,2.92,0.25,0.37,17,0.159,0.81,21,0.182,37,0.6,0.4,Vegetable
11030,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",33,4.83,0.58,4.72,0,0,0,0.093,0,35.6,0,47,3.024,0.273,0.362,19,0.174,0.89,23,0.199,38,0.6,0.44,Vegetable
11031,"Lima beans, immature seeds, raw",113,6.84,0.86,20.17,1.48,4.9,10,0.204,0,23.4,0.32,34,1.474,0.103,0.217,34,0.318,3.14,58,1.215,136,1.8,0.78,Vegetable
11032,"Lima beans, immature seeds, cooked, boiled, drained, without salt",123,6.81,0.32,23.64,1.63,5.3,15,0.193,0,10.1,0.14,26,1.04,0.096,0.14,32,0.305,2.45,74,1.252,130,2,0.79,Vegetable
11033,"Beans, lima, immature seeds, canned, regular pack, solids and liquids",71,4.07,0.29,13.33,0,3.6,8,0.062,0,7.3,0,16,0.532,0.043,0.029,28,0.162,1.61,34,0.7,71,1.1,0.64,Vegetable
11037,"Lima beans, immature seeds, frozen, fordhook, unprepared",106,6.4,0.35,19.83,1.39,5.5,11,0.136,0,19.3,0.72,32,1.187,0.067,0.092,24,0.062,1.51,38,0.345,74,1.7,0.49,Vegetable
11038,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",103,6.07,0.34,19.32,1.34,5.8,10,0.122,0,12.8,0.29,21,1.069,0.061,0.074,30,0.17,1.82,42,0.648,97,0.6,0.74,Vegetable
11039,"Lima beans, immature seeds, frozen, baby, unprepared",132,7.59,0.44,25.14,0,6,9,0.16,0,8.3,0,28,1.023,0.075,0.114,35,0.128,2.21,50,0.702,104,2.1,0.63,Vegetable
11040,"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt",105,6.65,0.3,19.45,1.37,6,8,0.115,0,5.8,0.64,16,0.77,0.055,0.07,28,0.197,1.96,56,0.813,112,1.7,0.55,Vegetable
11043,"Mung beans, mature seeds, sprouted, raw",30,3.04,0.18,5.94,4.13,1.8,1,0.088,0,13.2,0.1,61,0.749,0.124,0.084,13,0.164,0.91,21,0.188,54,0.6,0.41,Vegetable
11044,"Mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",21,2.03,0.09,4.19,2.84,0.8,1,0.054,0,11.4,0.07,29,0.817,0.102,0.05,12,0.122,0.65,14,0.14,28,0.6,0.47,Vegetable
11045,"Mung beans, mature seeds, sprouted, cooked, stir-fried",50,4.3,0.21,10.59,0,1.9,2,0.13,0,16,0,70,1.2,0.18,0.14,13,0.255,1.9,33,0.292,79,0.6,0.9,Vegetable
11046,"Beans, navy, mature seeds, sprouted, raw",67,6.15,0.7,13.05,0,0,0,0.191,0,18.8,0,132,1.22,0.215,0.39,15,0.356,1.93,101,0.408,100,0.6,0.89,Vegetable
11047,"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, without salt",78,7.07,0.81,15.01,0,0,0,0.198,0,17.3,0,106,1.263,0.235,0.381,16,0.389,2.11,111,0.446,103,0.6,0.97,Vegetable
11048,"Beans, pinto, immature seeds, frozen, unprepared",170,9.8,0.5,32.5,0,5.7,0,0.215,0,1,0,50,0.7,0.12,0.34,58,0.098,3,60,0.546,117,1.5,0.77,Vegetable
11049,"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, without salt",162,9.31,0.48,30.88,0,8.6,0,0.194,0,0.7,0,34,0.632,0.108,0.274,52,0.088,2.71,54,0.493,100,1.4,0.69,Vegetable
11050,"Beans, shellie, canned, solids and liquids",30,1.76,0.19,6.19,0.63,3.4,11,0.049,0,3.1,0.03,18,0.205,0.054,0.032,29,0.08,0.99,15,0.382,30,2.1,0.27,Vegetable
11052,"Beans, snap, green, raw",31,1.83,0.22,6.97,3.26,2.7,35,0.141,0,12.2,0.41,33,0.734,0.104,0.082,37,0.069,1.03,25,0.216,38,0.6,0.24,Vegetable
11053,"Beans, snap, green, cooked, boiled, drained, without salt",35,1.89,0.28,7.88,1.55,3.2,35,0.056,0,9.7,0.45,33,0.614,0.097,0.074,44,0.057,0.65,18,0.285,29,0.2,0.25,Vegetable
11054,"Beans, snap, green variety, canned, regular pack, solids and liquids",15,0.72,0.17,3.27,1.25,1.5,16,0.03,0,2.2,0.21,26,0.2,0.02,0.015,29,0.037,1.02,13,0.205,18,0,0.36,Vegetable
11056,"Beans, snap, green, canned, regular pack, drained solids",22,1.12,0.46,4.32,0.78,1.9,18,0.03,0,2.8,0.03,28,0.206,0.046,0.016,38,0.034,1.06,13,0.163,20,0.4,0.2,Vegetable
11058,"Beans, snap, canned, all styles, seasoned, solids and liquids",16,0.83,0.2,3.49,0,1.5,26,0.044,0,3.1,0,18,0.233,0.049,0.025,22,0.06,0.47,13,0.312,16,0.2,0.14,Vegetable
11060,"Beans, snap, green, frozen, all styles, unprepared",39,1.79,0.21,7.54,2.21,2.6,27,0.044,0,12.9,0.42,15,0.496,0.091,0.098,42,0.049,0.85,22,0.369,32,0.6,0.26,Vegetable
11061,"Beans, snap, green, frozen, cooked, boiled, drained without salt",28,1.49,0.17,6.45,1.23,3,28,0.06,0,4.1,0.04,23,0.383,0.09,0.035,42,0.059,0.66,19,0.288,29,0.4,0.24,Vegetable
11062,"Beans, snap, green, frozen, all styles, microwaved",40,1.98,0.41,6.98,2.6,3.4,26,0.063,0,11,0.42,0,0.485,0.103,0.073,61,0.066,0.8,29,0.33,42,1,0.31,Vegetable
11063,"Beans, snap, green, microwaved",39,2.31,0.5,6.41,3.22,3.4,0,0.124,0,7.3,0,0,0.773,0.075,0.078,55,0.09,0.83,28,0.332,49,0,0.38,Vegetable
11080,"Beets, raw",43,1.61,0.17,9.56,6.76,2.8,2,0.067,0,4.9,0.04,109,0.334,0.04,0.031,16,0.075,0.8,23,0.329,40,0.7,0.35,Vegetable
11081,"Beets, cooked, boiled, drained",44,1.68,0.18,9.96,7.96,2,2,0.067,0,3.6,0.04,80,0.331,0.04,0.027,16,0.074,0.79,23,0.326,38,0.7,0.35,Vegetable
11082,"Beets, canned, regular pack, solids and liquids",30,0.73,0.09,7.14,6.53,1.2,1,0.055,0,2.8,0.03,29,0.151,0.038,0.01,18,0.043,0.73,18,0.411,15,0.1,0.34,Vegetable
11084,"Beets, canned, drained solids",31,0.91,0.14,7.21,5.51,1.8,1,0.057,0,4.1,0.03,30,0.157,0.04,0.01,15,0.059,1.82,17,0.287,17,0.5,0.21,Vegetable
11086,"Beet greens, raw",22,2.2,0.13,4.33,0.5,3.7,316,0.106,0,30,1.5,15,0.4,0.22,0.1,117,0.191,2.57,70,0.391,41,0.9,0.38,Vegetable
11087,"Beet greens, cooked, boiled, drained, without salt",27,2.57,0.2,5.46,0.6,2.9,383,0.132,0,24.9,1.81,14,0.499,0.289,0.117,114,0.251,1.9,68,0.514,41,0.9,0.5,Vegetable
11088,"Broadbeans, immature seeds, raw",72,5.6,0.6,11.7,0,4.2,18,0.038,0,33,0,96,1.5,0.11,0.17,22,0.074,1.9,38,0.32,95,1.2,0.58,Vegetable
11089,"Broadbeans, immature seeds, cooked, boiled, drained, without salt",62,4.8,0.5,10.1,0,3.6,14,0.029,0,19.8,0,58,1.2,0.09,0.128,18,0.06,1.5,31,0.261,73,1,0.47,Vegetable
11090,"Broccoli, raw",34,2.82,0.37,6.64,1.7,2.6,31,0.175,0,89.2,0.78,63,0.639,0.117,0.071,47,0.049,0.73,21,0.21,66,2.5,0.41,Vegetable
11091,"Broccoli, cooked, boiled, drained, without salt",35,2.38,0.41,7.18,1.39,3.3,77,0.2,0,64.9,1.45,108,0.553,0.123,0.063,40,0.061,0.67,21,0.194,67,1.6,0.45,Vegetable
11092,"Broccoli, frozen, chopped, unprepared",26,2.81,0.29,4.78,1.35,3,52,0.13,0,56.4,1.22,67,0.47,0.096,0.053,56,0.038,0.81,18,0.294,50,2.8,0.48,Vegetable
11093,"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",28,3.1,0.12,5.35,1.47,3,51,0.13,0,40.1,1.32,56,0.458,0.081,0.055,33,0.034,0.61,13,0.223,49,0.7,0.28,Vegetable
11094,"Broccoli, frozen, spears, unprepared",29,3.06,0.34,5.35,1.47,3,57,0.175,0,68.3,1.35,94,0.462,0.114,0.072,41,0.036,0.72,16,0.256,59,1.9,0.34,Vegetable
11095,"Broccoli, frozen, spears, cooked, boiled, drained, without salt",28,3.1,0.11,5.36,1.47,3,51,0.13,0,40.1,1.32,30,0.458,0.081,0.055,51,0.043,0.61,20,0.325,55,1.9,0.3,Vegetable
11096,"Broccoli raab, raw",22,3.17,0.49,2.85,0.38,2.7,131,0.171,0,20.2,1.62,83,1.221,0.129,0.162,108,0.042,2.14,22,0.395,73,1,0.77,Vegetable
11097,"Broccoli raab, cooked",33,3.83,0.52,3.12,0.62,2.8,227,0.22,0,37,2.53,71,2.015,0.14,0.169,118,0.075,1.27,27,0.38,82,1.3,0.54,Vegetable
11098,"Brussels sprouts, raw",43,3.38,0.3,8.95,2.2,3.8,38,0.219,0,85,0.88,61,0.745,0.09,0.139,42,0.07,1.4,23,0.337,69,1.6,0.42,Vegetable
11099,"Brussels sprouts, cooked, boiled, drained, without salt",36,2.55,0.5,7.1,1.74,2.6,39,0.178,0,62,0.43,60,0.607,0.08,0.107,36,0.083,1.2,20,0.227,56,1.5,0.33,Vegetable
11100,"Brussels sprouts, frozen, unprepared",41,3.78,0.41,7.86,0,3.8,31,0.202,0,74.1,0,123,0.638,0.122,0.105,26,0.033,0.93,20,0.311,62,1.5,0.31,Vegetable
11101,"Brussels sprouts, frozen, cooked, boiled, drained, without salt",42,3.64,0.39,8.32,2.08,4.1,46,0.289,0,45.7,0.51,101,0.537,0.113,0.103,26,0.034,0.48,18,0.206,56,0.6,0.24,Vegetable
11104,"Burdock root, raw",72,1.53,0.15,17.34,2.9,3.3,0,0.24,0,3,0.38,23,0.3,0.03,0.01,41,0.077,0.8,38,0.232,51,0.7,0.33,Vegetable
11105,"Burdock root, cooked, boiled, drained, without salt",88,2.09,0.14,21.15,3.55,1.8,0,0.279,0,2.6,0.46,20,0.32,0.058,0.039,49,0.089,0.77,39,0.27,93,0.9,0.38,Vegetable
11106,"Butterbur, (fuki), raw",14,0.39,0.04,3.61,0,0,3,0.096,0,31.5,0,10,0.2,0.02,0.02,103,0.103,0.1,14,0.274,12,0.9,0.16,Vegetable
11107,"Butterbur, cooked, boiled, drained, without salt",8,0.23,0.02,2.16,0,0,1,0.052,0,18.9,0,4,0.1,0.01,0.01,59,0.059,0.1,8,0.156,7,0.9,0.09,Vegetable
11108,"Butterbur, canned",3,0.11,0.13,0.38,0,0,0,0.033,0,11.9,0,3,0.14,0.006,0.006,34,0.037,0.63,2,0.098,4,0.9,0.06,Vegetable
11109,"Cabbage, raw",25,1.28,0.1,5.8,3.2,2.5,5,0.124,0,36.6,0.15,43,0.234,0.04,0.061,40,0.019,0.47,12,0.16,26,0.3,0.18,Vegetable
11110,"Cabbage, cooked, boiled, drained, without salt",23,1.27,0.06,5.51,2.79,1.9,4,0.112,0,37.5,0.14,30,0.248,0.038,0.061,48,0.017,0.17,15,0.205,33,0.6,0.2,Vegetable
11112,"Cabbage, red, raw",31,1.43,0.16,7.37,3.83,2.1,56,0.209,0,57,0.11,18,0.418,0.069,0.064,45,0.017,0.8,16,0.243,30,0.6,0.22,Vegetable
11113,"Cabbage, red, cooked, boiled, drained, without salt",29,1.51,0.09,6.94,3.32,2.6,2,0.225,0,34.4,0.12,24,0.382,0.06,0.071,42,0.054,0.66,17,0.223,33,2.3,0.25,Vegetable
11114,"Cabbage, savoy, raw",27,2,0.1,6.1,2.27,3.1,50,0.19,0,31,0.17,80,0.3,0.03,0.07,35,0.062,0.4,28,0.18,42,0.9,0.27,Vegetable
11115,"Cabbage, savoy, cooked, boiled, drained, without salt",24,1.8,0.09,5.41,0,2.8,44,0.152,0,17,0,46,0.024,0.02,0.051,30,0.052,0.38,24,0.152,33,0.7,0.23,Vegetable
11116,"Cabbage, chinese (pak-choi), raw",13,1.5,0.2,2.18,1.18,1,223,0.194,0,45,0.09,66,0.5,0.07,0.04,105,0.021,0.8,19,0.159,37,0.5,0.19,Vegetable
11117,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",12,1.56,0.16,1.78,0.83,1,212,0.166,0,26,0.09,41,0.428,0.063,0.032,93,0.019,1.04,11,0.144,29,0.4,0.17,Vegetable
