fdc_id,Calcium,Carbohydrate,Copper,Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Fiber,Folate,Folic acid,Iron,Magnesium,Niacin,Phosphorus,Protein,Retinol,Riboflavin,Selenium,Sugar,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Vitamin E,Zinc,FoV
2344791,23,14.97,0.215,152,1.89,4.443,3.319,1.9,18,0,0.42,26,0.421,49,2.14,48,0.058,0.8,10.58,0.077,51,0.02,0.146,16,0.26,0.39,Fruit
2344792,17,17.1,0.226,142,0.974,4.494,2.311,2,18,0,0.43,27,0.433,45,1.99,0,0.037,0.7,12.5,0.078,3,0,0.148,16.6,0.23,0.38,Fruit
2344793,15,17.4,0.192,241,3.847,11.999,2.693,1.6,16,0,0.4,22,0.359,41,1.83,3,0.034,0.9,12.24,0.066,5,0.02,0.123,13.6,0.74,0.34,Fruit
2344794,31,17.55,0.175,125,1.208,3.68,0.733,1.9,18,0,0.33,22,0.328,47,1.98,0,0.049,0.5,12.65,0.072,4,0.03,0.116,15.9,0.23,0.34,Fruit
2344795,25,17.96,0.192,127,1.229,3.755,0.745,1.7,15,0,0.37,23,0.376,47,1.91,0,0.047,0.4,12.83,0.07,2,0.03,0.129,14,0.2,0.35,Fruit
2344796,22,13.09,0.181,232,4.003,12.487,2.802,2,19,0,0.36,22,0.327,44,1.9,3,0.038,1,9.31,0.072,7,0.02,0.118,16.4,0.81,0.34,Fruit
2344797,30,14.57,0.196,149,1.852,4.342,3.248,2.1,21,0,0.36,25,0.366,50,2.21,47,0.06,0.9,10.44,0.079,52,0.02,0.131,18.1,0.3,0.37,Fruit
2344798,24,16.64,0.205,139,0.955,4.388,2.26,2.2,21,0,0.38,26,0.375,46,2.06,0,0.039,0.8,12.31,0.081,5,0,0.133,18.8,0.27,0.36,Fruit
2344799,21,17.01,0.176,237,3.777,11.771,2.644,1.8,18,0,0.35,21,0.312,42,1.9,3,0.036,1,12.08,0.068,6,0.02,0.111,15.5,0.76,0.32,Fruit
2344804,13,11.9,0.101,96,1.272,3.382,0.884,1.3,17,0,0.29,11,0.452,9,0.58,1,0.031,0.3,8.94,0.073,5,0.01,0.102,43,0.27,0.12,Fruit
2344809,21,12.1,0.015,51,0.01,0.033,0.02,0.2,9,0,0.08,7,0.035,11,0.29,0,0.022,0.1,10.4,0.025,1,0,0.025,34.7,0.13,0.03,Fruit
2344810,11,12.46,0.01,50,0.005,0.032,0.023,0.2,0,0,0.11,7,0.087,9,0.16,0,0.015,0.1,10.92,0.006,0,0,0.021,28.2,0.01,0.05,Fruit
2344811,10,11.16,0.011,46,0.01,0.042,0.02,0.2,2,0,0.12,6,0.068,8,0.12,0,0.016,0.1,9.04,0.009,0,0,0.018,21.2,0.31,0.05,Fruit
2344812,19,10.91,0.016,45,0.002,0.002,0.002,0.1,18,0,0.08,5,0.094,8,0.27,0,0.015,0.1,9.8,0.005,1,0,0.018,31.5,0.01,0.05,Fruit
2344816,12,7.8,0.114,38,0.058,0.344,0.018,0.1,10,0,0.48,21,0.446,12,0.3,0,0.018,0.3,7.7,0.012,6,0,0.021,11.3,0.9,0.41,Fruit
2344817,5,9.42,0.04,37,0.031,0.095,0.018,1.6,4,0,0.18,4,0.272,8,0.48,0,0.027,0.1,6.47,0.024,2,0,0.034,6.3,0.37,0.1,Fruit
2344818,7,7.26,0.013,32,0.023,0.07,0.01,0.1,9,0,0.13,4,0.01,3,0,0,0.018,0.1,3.41,0.018,2,0,0.009,0,1.2,0.04,Fruit
2344819,8,15.73,0.01,66,0.003,0.022,0.025,0.2,2,0,0.08,6,0.011,12,0.18,0,0.015,0,14.24,0.013,0,0,0.026,50.4,0,0.04,Fruit
2344820,42,14.77,0.018,62,0.003,0.022,0.025,0.2,0,0,0.25,10,0.133,14,0.37,0,0.015,0,14.2,0.017,0,0,0.032,25,0,0.07,Fruit
2344821,10,14.51,0.013,57,0.041,0.035,0.047,0.6,2,0,0.34,3,0.15,0,0.17,0,0.004,0.3,13.91,0.006,18,0,0.009,3,0.24,0.15,Fruit
2344822,4,13.6,0.053,51,0.006,0.029,0.004,0.2,7,0,0.24,17,1.46,13,0.39,0,0.131,0.1,13.4,0,36,0,0.05,29.8,0.01,0.05,Fruit
